fips,state_name,state_abbr,county_name,county_abbr,unrealiable_bw,num_low_birthweight_births,num_live_births,log_live_births,perc_low_bw,cat_rucc,sociod,rucc1_sociod_eqi_2jan2018_vc,rucc2_sociod_eqi_2jan2018_vc,rucc3_sociod_eqi_2jan2018_vc,rucc4_sociod_eqi_2jan2018_vc,built,rucc1_built_eqi_2jan2018_vc,rucc2_built_eqi_2jan2018_vc,rucc3_built_eqi_2jan2018_vc,rucc4_built_eqi_2jan2018_vc,air,rucc1_air_eqi_2jan2018_vc,rucc2_air_eqi_2jan2018_vc,rucc3_air_eqi_2jan2018_vc,rucc4_air_eqi_2jan2018_vc,land,rucc1_land_eqi_2jan2018_vc,rucc2_land_eqi_2jan2018_vc,rucc3_land_eqi_2jan2018_vc,rucc4_land_eqi_2jan2018_vc,water,rucc1_water_eqi_2jan2018_vc,rucc2_water_eqi_2jan2018_vc,rucc3_water_eqi_2jan2018_vc,rucc4_water_eqi_2jan2018_vc,eqi,rucc1_eqi_2jan2018_vc,rucc2_eqi_2jan2018_vc,rucc3_eqi_2jan2018_vc,rucc4_eqi_2jan2018_vc,sociod_4q,rucc1_sociod_eqi_2jan2018_vc_4,rucc2_sociod_eqi_2jan2018_vc_4,rucc3_sociod_eqi_2jan2018_vc_4,rucc4_sociod_eqi_2jan2018_vc_4,air_4q,rucc1_air_eqi_2jan2018_vc_4,rucc2_air_eqi_2jan2018_vc_4,rucc3_air_eqi_2jan2018_vc_4,rucc4_air_eqi_2jan2018_vc_4,water_4q,rucc1_water_eqi_2jan2018_vc_4,rucc2_water_eqi_2jan2018_vc_4,rucc3_water_eqi_2jan2018_vc_4,rucc4_water_eqi_2jan2018_vc_4,land_4q,rucc1_land_eqi_2jan2018_vc_4,rucc2_land_eqi_2jan2018_vc_4,rucc3_land_eqi_2jan2018_vc_4,rucc4_land_eqi_2jan2018_vc_4,built_4q,rucc1_built_eqi_2jan2018_vc_4,rucc2_built_eqi_2jan2018_vc_4,rucc3_built_eqi_2jan2018_vc_4,rucc4_built_eqi_2jan2018_vc_4,eqi_4q,rucc1_eqi_2jan2018_vc_4,rucc2_eqi_2jan2018_vc_4,rucc3_eqi_2jan2018_vc_4,rucc4_eqi_2jan2018_vc_4,sociod_3q,rucc1_sociod_eqi_2jan2018_vc_3,rucc2_sociod_eqi_2jan2018_vc_3,rucc3_sociod_eqi_2jan2018_vc_3,rucc4_sociod_eqi_2jan2018_vc_3,air_3q,rucc1_air_eqi_2jan2018_vc_3,rucc2_air_eqi_2jan2018_vc_3,rucc3_air_eqi_2jan2018_vc_3,rucc4_air_eqi_2jan2018_vc_3,water_3q,rucc1_water_eqi_2jan2018_vc_3,rucc2_water_eqi_2jan2018_vc_3,rucc3_water_eqi_2jan2018_vc_3,rucc4_water_eqi_2jan2018_vc_3,land_3q,rucc1_land_eqi_2jan2018_vc_3,rucc2_land_eqi_2jan2018_vc_3,rucc3_land_eqi_2jan2018_vc_3,rucc4_land_eqi_2jan2018_vc_3,built_3q,rucc1_built_eqi_2jan2018_vc_3,rucc2_built_eqi_2jan2018_vc_3,rucc3_built_eqi_2jan2018_vc_3,rucc4_built_eqi_2jan2018_vc_3,eqi_3q,rucc1_eqi_2jan2018_vc_3,rucc2_eqi_2jan2018_vc_3,rucc3_eqi_2jan2018_vc_3,rucc4_eqi_2jan2018_vc_3,sociod_5q,rucc1_sociod_eqi_2jan2018_vc_5,rucc2_sociod_eqi_2jan2018_vc_5,rucc3_sociod_eqi_2jan2018_vc_5,rucc4_sociod_eqi_2jan2018_vc_5,air_5q,rucc1_air_eqi_2jan2018_vc_5,rucc2_air_eqi_2jan2018_vc_5,rucc3_air_eqi_2jan2018_vc_5,rucc4_air_eqi_2jan2018_vc_5,water_5q,rucc1_water_eqi_2jan2018_vc_5,rucc2_water_eqi_2jan2018_vc_5,rucc3_water_eqi_2jan2018_vc_5,rucc4_water_eqi_2jan2018_vc_5,land_5q,rucc1_land_eqi_2jan2018_vc_5,rucc2_land_eqi_2jan2018_vc_5,rucc3_land_eqi_2jan2018_vc_5,rucc4_land_eqi_2jan2018_vc_5,built_5q,rucc1_built_eqi_2jan2018_vc_5,rucc2_built_eqi_2jan2018_vc_5,rucc3_built_eqi_2jan2018_vc_5,rucc4_built_eqi_2jan2018_vc_5,eqi_5q,rucc1_eqi_2jan2018_vc_5,rucc2_eqi_2jan2018_vc_5,rucc3_eqi_2jan2018_vc_5,rucc4_eqi_2jan2018_vc_5
37013,North Carolina,NC,Beaufort County,Beaufort,NA,401,3892,8.266678443305896,10.303186023,3,0.255827129,NA,NA,0.46106407,NA,-0.201158971,NA,NA,0.133862108,NA,0.019460257,NA,NA,0.050455619,NA,0.574306428,NA,NA,0.572966099,NA,0.832448423,NA,NA,0.770515263,NA,0.175838053,NA,NA,0.266210079,NA,3,NA,NA,3,NA,2,NA,NA,2,NA,3,NA,NA,3,NA,3,NA,NA,3,NA,2,NA,NA,3,NA,3,NA,NA,3,NA,2,NA,NA,3,NA,2,NA,NA,2,NA,3,NA,NA,3,NA,3,NA,NA,2,NA,2,NA,NA,2,NA,2,NA,NA,2,NA,3,NA,NA,4,NA,3,NA,NA,3,NA,4,NA,NA,4,NA,4,NA,NA,4,NA,2,NA,NA,3,NA,3,NA,NA,3,NA
37015,North Carolina,NC,Bertie County,Bertie,NA,200,1544,7.342131730584722,12.953367876,3,0.862894475,NA,NA,1.36999774,NA,0.850465655,NA,NA,1.302990556,NA,0.388029695,NA,NA,0.45479086,NA,1.001106739,NA,NA,0.96013248,NA,0.901659906,NA,NA,0.849240184,NA,0.988106132,NA,NA,1.419243813,NA,4,NA,NA,4,NA,3,NA,NA,3,NA,4,NA,NA,4,NA,4,NA,NA,4,NA,4,NA,NA,4,NA,4,NA,NA,4,NA,3,NA,NA,3,NA,2,NA,NA,3,NA,3,NA,NA,3,NA,3,NA,NA,3,NA,3,NA,NA,3,NA,3,NA,NA,3,NA,5,NA,NA,5,NA,4,NA,NA,4,NA,4,NA,NA,4,NA,5,NA,NA,5,NA,5,NA,NA,5,NA,5,NA,NA,5,NA
37017,North Carolina,NC,Bladen County,Bladen,NA,271,2769,7.926241523170962,9.7869266883,3,0.72076112,NA,NA,1.306676269,NA,0.708055019,NA,NA,1.233580709,NA,-0.118965909,NA,NA,-0.10944853,NA,0.612858355,NA,NA,0.59080088100000006,NA,0.942230403,NA,NA,0.875899613,NA,0.549989462,NA,NA,1.097199321,NA,4,NA,NA,4,NA,2,NA,NA,2,NA,4,NA,NA,4,NA,3,NA,NA,3,NA,4,NA,NA,4,NA,3,NA,NA,4,NA,3,NA,NA,3,NA,2,NA,NA,2,NA,3,NA,NA,3,NA,3,NA,NA,2,NA,3,NA,NA,3,NA,3,NA,NA,3,NA,4,NA,NA,5,NA,3,NA,NA,3,NA,5,NA,NA,5,NA,4,NA,NA,4,NA,4,NA,NA,5,NA,4,NA,NA,5,NA
37019,North Carolina,NC,Brunswick County,Brunswick,NA,637,7670,8.945071894361302,8.3050847458,1,-0.456038028,0.501810253,NA,NA,NA,0.212490559,-0.211678535,NA,NA,NA,0.010051919,-0.230852187,NA,NA,NA,-0.255606472,-0.19352366,NA,NA,NA,0.944826961,0.844929695,NA,NA,NA,0.289866298,0.084633395,NA,NA,NA,2,3,NA,NA,NA,2,2,NA,NA,NA,4,4,NA,NA,NA,2,2,NA,NA,NA,3,2,NA,NA,NA,3,3,NA,NA,NA,1,3,NA,NA,NA,2,2,NA,NA,NA,3,3,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,2,2,NA,NA,NA,2,4,NA,NA,NA,3,2,NA,NA,NA,5,4,NA,NA,NA,2,2,NA,NA,NA,3,3,NA,NA,NA,3,3,NA,NA,NA
37021,North Carolina,NC,Buncombe County,Buncombe,NA,1554,18750,9.838949031398556,8.288,1,-1.431596756,-0.746309638,NA,NA,NA,-0.517199874,-1.097273111,NA,NA,NA,0.175567046,-0.063450761,NA,NA,NA,-0.33761030400000003,-0.245604381,NA,NA,NA,1.027257681,0.92277199,NA,NA,NA,0.118200622,-1.078718305,NA,NA,NA,1,1,NA,NA,NA,3,2,NA,NA,NA,4,4,NA,NA,NA,2,2,NA,NA,NA,2,1,NA,NA,NA,3,1,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,3,3,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,2,1,NA,NA,NA,1,2,NA,NA,NA,3,3,NA,NA,NA,5,5,NA,NA,NA,2,2,NA,NA,NA,2,1,NA,NA,NA,3,1,NA,NA,NA
37023,North Carolina,NC,Burke County,Burke,NA,523,6687,8.80792062205398,7.8211455062,1,0.281034261,0.903443933,NA,NA,NA,0.478120029,0.178288624,NA,NA,NA,0.707611561,0.490530372,NA,NA,NA,-0.336759627,-0.216923043,NA,NA,NA,0.778097868,0.681732714,NA,NA,NA,0.678851187,0.439113587,NA,NA,NA,3,4,NA,NA,NA,4,3,NA,NA,NA,3,3,NA,NA,NA,2,2,NA,NA,NA,3,3,NA,NA,NA,3,3,NA,NA,NA,2,3,NA,NA,NA,3,3,NA,NA,NA,3,2,NA,NA,NA,1,1,NA,NA,NA,3,2,NA,NA,NA,3,2,NA,NA,NA,3,5,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,NA,2,2,NA,NA,NA,4,3,NA,NA,NA,4,4,NA,NA,NA
37025,North Carolina,NC,Cabarrus County,Cabarrus,NA,1507,17307,9.758866322925,8.7074594095,1,-0.966849804,-0.260278553,NA,NA,NA,1.013450742,0.446430683,NA,NA,NA,0.679361045,0.450753689,NA,NA,NA,0.467349917,0.616411686,NA,NA,NA,0.944657266,0.847024918,NA,NA,NA,1.349716306,0.103230201,NA,NA,NA,1,2,NA,NA,NA,4,3,NA,NA,NA,4,4,NA,NA,NA,3,3,NA,NA,NA,4,3,NA,NA,NA,4,3,NA,NA,NA,1,2,NA,NA,NA,3,3,NA,NA,NA,3,3,NA,NA,NA,2,3,NA,NA,NA,3,3,NA,NA,NA,3,2,NA,NA,NA,1,2,NA,NA,NA,4,4,NA,NA,NA,5,4,NA,NA,NA,4,4,NA,NA,NA,5,4,NA,NA,NA,5,3,NA,NA,NA
37027,North Carolina,NC,Caldwell County,Caldwell,NA,519,5985,8.697011617992073,8.671679198,1,0.321382642,0.987577438,NA,NA,NA,0.832746625,0.601413846,NA,NA,NA,1.353406668,1.172037959,NA,NA,NA,-0.407942891,-0.26267904,NA,NA,NA,0.904534459,0.803450584,NA,NA,NA,1.234538555,0.621257603,NA,NA,NA,3,4,NA,NA,NA,4,4,NA,NA,NA,4,3,NA,NA,NA,2,2,NA,NA,NA,4,3,NA,NA,NA,4,3,NA,NA,NA,2,3,NA,NA,NA,3,3,NA,NA,NA,3,3,NA,NA,NA,1,1,NA,NA,NA,3,3,NA,NA,NA,3,3,NA,NA,NA,3,5,NA,NA,NA,5,5,NA,NA,NA,4,4,NA,NA,NA,2,2,NA,NA,NA,5,4,NA,NA,NA,5,4,NA,NA,NA
37029,North Carolina,NC,Camden County,Camden,NA,57,673,6.511745329644728,8.4695393759,4,-0.65796423,NA,NA,NA,-1.18712306,2.196869135,NA,NA,NA,1.699022532,0.758473575,NA,NA,NA,1.087315917,0.065708451,NA,NA,NA,0.242043734,0.789460957,NA,NA,NA,1.157536507,1.849961281,NA,NA,NA,0.809183359,1,NA,NA,NA,1,4,NA,NA,NA,4,3,NA,NA,NA,4,2,NA,NA,NA,3,4,NA,NA,NA,4,4,NA,NA,NA,3,1,NA,NA,NA,1,3,NA,NA,NA,3,3,NA,NA,NA,3,2,NA,NA,NA,2,3,NA,NA,NA,3,3,NA,NA,NA,3,2,NA,NA,NA,1,4,NA,NA,NA,5,4,NA,NA,NA,5,3,NA,NA,NA,3,5,NA,NA,NA,5,5,NA,NA,NA,4
37031,North Carolina,NC,Carteret County,Carteret,NA,313,4351,8.37816098272068,7.1937485635,2,-0.413053989,NA,-0.840308726,NA,NA,-0.481417686,NA,-0.547558486,NA,NA,0.112181082,NA,0.045286626,NA,NA,-3.10981e-4,NA,-0.104410008,NA,NA,1.093549609,NA,0.944088399,NA,NA,0.067649655,NA,-0.772577643,NA,NA,2,NA,1,NA,NA,3,NA,2,NA,NA,4,NA,4,NA,NA,2,NA,2,NA,NA,2,NA,2,NA,NA,2,NA,1,NA,NA,1,NA,1,NA,NA,2,NA,2,NA,NA,3,NA,3,NA,NA,2,NA,2,NA,NA,1,NA,1,NA,NA,2,NA,1,NA,NA,2,NA,1,NA,NA,3,NA,3,NA,NA,5,NA,5,NA,NA,3,NA,3,NA,NA,2,NA,2,NA,NA,3,NA,1,NA,NA
