fips,state_name,state_abbr,county_name,county_abbr,unrealiable_bw,num_low_birthweight_births,num_live_births,log_live_births,perc_low_bw,cat_rucc,sociod,rucc1_sociod_eqi_2jan2018_vc,rucc2_sociod_eqi_2jan2018_vc,rucc3_sociod_eqi_2jan2018_vc,rucc4_sociod_eqi_2jan2018_vc,built,rucc1_built_eqi_2jan2018_vc,rucc2_built_eqi_2jan2018_vc,rucc3_built_eqi_2jan2018_vc,rucc4_built_eqi_2jan2018_vc,air,rucc1_air_eqi_2jan2018_vc,rucc2_air_eqi_2jan2018_vc,rucc3_air_eqi_2jan2018_vc,rucc4_air_eqi_2jan2018_vc,land,rucc1_land_eqi_2jan2018_vc,rucc2_land_eqi_2jan2018_vc,rucc3_land_eqi_2jan2018_vc,rucc4_land_eqi_2jan2018_vc,water,rucc1_water_eqi_2jan2018_vc,rucc2_water_eqi_2jan2018_vc,rucc3_water_eqi_2jan2018_vc,rucc4_water_eqi_2jan2018_vc,eqi,rucc1_eqi_2jan2018_vc,rucc2_eqi_2jan2018_vc,rucc3_eqi_2jan2018_vc,rucc4_eqi_2jan2018_vc,sociod_4q,rucc1_sociod_eqi_2jan2018_vc_4,rucc2_sociod_eqi_2jan2018_vc_4,rucc3_sociod_eqi_2jan2018_vc_4,rucc4_sociod_eqi_2jan2018_vc_4,air_4q,rucc1_air_eqi_2jan2018_vc_4,rucc2_air_eqi_2jan2018_vc_4,rucc3_air_eqi_2jan2018_vc_4,rucc4_air_eqi_2jan2018_vc_4,water_4q,rucc1_water_eqi_2jan2018_vc_4,rucc2_water_eqi_2jan2018_vc_4,rucc3_water_eqi_2jan2018_vc_4,rucc4_water_eqi_2jan2018_vc_4,land_4q,rucc1_land_eqi_2jan2018_vc_4,rucc2_land_eqi_2jan2018_vc_4,rucc3_land_eqi_2jan2018_vc_4,rucc4_land_eqi_2jan2018_vc_4,built_4q,rucc1_built_eqi_2jan2018_vc_4,rucc2_built_eqi_2jan2018_vc_4,rucc3_built_eqi_2jan2018_vc_4,rucc4_built_eqi_2jan2018_vc_4,eqi_4q,rucc1_eqi_2jan2018_vc_4,rucc2_eqi_2jan2018_vc_4,rucc3_eqi_2jan2018_vc_4,rucc4_eqi_2jan2018_vc_4,sociod_3q,rucc1_sociod_eqi_2jan2018_vc_3,rucc2_sociod_eqi_2jan2018_vc_3,rucc3_sociod_eqi_2jan2018_vc_3,rucc4_sociod_eqi_2jan2018_vc_3,air_3q,rucc1_air_eqi_2jan2018_vc_3,rucc2_air_eqi_2jan2018_vc_3,rucc3_air_eqi_2jan2018_vc_3,rucc4_air_eqi_2jan2018_vc_3,water_3q,rucc1_water_eqi_2jan2018_vc_3,rucc2_water_eqi_2jan2018_vc_3,rucc3_water_eqi_2jan2018_vc_3,rucc4_water_eqi_2jan2018_vc_3,land_3q,rucc1_land_eqi_2jan2018_vc_3,rucc2_land_eqi_2jan2018_vc_3,rucc3_land_eqi_2jan2018_vc_3,rucc4_land_eqi_2jan2018_vc_3,built_3q,rucc1_built_eqi_2jan2018_vc_3,rucc2_built_eqi_2jan2018_vc_3,rucc3_built_eqi_2jan2018_vc_3,rucc4_built_eqi_2jan2018_vc_3,eqi_3q,rucc1_eqi_2jan2018_vc_3,rucc2_eqi_2jan2018_vc_3,rucc3_eqi_2jan2018_vc_3,rucc4_eqi_2jan2018_vc_3,sociod_5q,rucc1_sociod_eqi_2jan2018_vc_5,rucc2_sociod_eqi_2jan2018_vc_5,rucc3_sociod_eqi_2jan2018_vc_5,rucc4_sociod_eqi_2jan2018_vc_5,air_5q,rucc1_air_eqi_2jan2018_vc_5,rucc2_air_eqi_2jan2018_vc_5,rucc3_air_eqi_2jan2018_vc_5,rucc4_air_eqi_2jan2018_vc_5,water_5q,rucc1_water_eqi_2jan2018_vc_5,rucc2_water_eqi_2jan2018_vc_5,rucc3_water_eqi_2jan2018_vc_5,rucc4_water_eqi_2jan2018_vc_5,land_5q,rucc1_land_eqi_2jan2018_vc_5,rucc2_land_eqi_2jan2018_vc_5,rucc3_land_eqi_2jan2018_vc_5,rucc4_land_eqi_2jan2018_vc_5,built_5q,rucc1_built_eqi_2jan2018_vc_5,rucc2_built_eqi_2jan2018_vc_5,rucc3_built_eqi_2jan2018_vc_5,rucc4_built_eqi_2jan2018_vc_5,eqi_5q,rucc1_eqi_2jan2018_vc_5,rucc2_eqi_2jan2018_vc_5,rucc3_eqi_2jan2018_vc_5,rucc4_eqi_2jan2018_vc_5
01001,Alabama,AL,Autauga County,Autauga,NA,425,4678,8.450625947144124,9.0850790936,1,-0.525909543,0.225516051,NA,NA,NA,1.31299293,1.23954618,NA,NA,NA,-0.366158217,-0.620936155,NA,NA,NA,-0.018733162,-0.08367236,NA,NA,NA,-1.428258181,-1.444195628,NA,NA,NA,0.284681678,0.920560777,NA,NA,NA,1,3,NA,NA,NA,2,1,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,4,4,NA,NA,NA,3,4,NA,NA,NA,1,2,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,3,3,NA,NA,NA,2,3,NA,NA,NA,2,3,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,NA,3,2,NA,NA,NA,5,5,NA,NA,NA,3,5,NA,NA,NA
01003,Alabama,AL,Baldwin County,Baldwin,NA,1332,15363,9.63971730013066,8.6701816052,1,-0.702319086,0.185723156,NA,NA,NA,0.3186979,-0.289549738,NA,NA,NA,0.713883579,0.509944558,NA,NA,NA,0.401319623,0.381730199,NA,NA,NA,-0.084552139,-0.151325405,NA,NA,NA,0.754969418,-0.02349562,NA,NA,NA,1,3,NA,NA,NA,4,3,NA,NA,NA,2,2,NA,NA,NA,3,3,NA,NA,NA,3,2,NA,NA,NA,4,2,NA,NA,NA,1,2,NA,NA,NA,3,3,NA,NA,NA,2,2,NA,NA,NA,2,2,NA,NA,NA,2,2,NA,NA,NA,3,2,NA,NA,NA,2,3,NA,NA,NA,4,4,NA,NA,NA,2,2,NA,NA,NA,4,4,NA,NA,NA,4,3,NA,NA,NA,4,3,NA,NA,NA
01005,Alabama,AL,Barbour County,Barbour,NA,284,2391,7.779466967458324,11.877875366,3,0.690728128,NA,NA,0.725353658,NA,0.117606871,NA,NA,0.431463122,NA,0.573405206,NA,NA,0.627688289,NA,-0.138942406,NA,NA,-0.200249642,NA,-1.4241153,NA,NA,-1.609440088,NA,-0.005637936,NA,NA,0.919208407,NA,3,NA,NA,4,NA,3,NA,NA,3,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,3,NA,NA,3,NA,2,NA,NA,4,NA,3,NA,NA,3,NA,3,NA,NA,3,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,2,NA,NA,2,NA,2,NA,NA,3,NA,4,NA,NA,4,NA,4,NA,NA,4,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,3,NA,NA,4,NA,3,NA,NA,5,NA
01007,Alabama,AL,Bibb County,Bibb,NA,228,1783,7.48605261786314,12.787436904,1,0.812095702,1.435620427,NA,NA,NA,1.747703195,1.764355659,NA,NA,NA,0.122386821,-0.108812414,NA,NA,NA,-1.236887336,-0.936878622,NA,NA,NA,-1.424622178,-1.438000321,NA,NA,NA,0.304039747,1.634843111,NA,NA,NA,4,4,NA,NA,NA,3,2,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,4,4,NA,NA,NA,3,4,NA,NA,NA,3,3,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,3,3,NA,NA,NA,2,3,NA,NA,NA,5,5,NA,NA,NA,3,3,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,5,5,NA,NA,NA,3,5,NA,NA,NA
01009,Alabama,AL,Blount County,Blount,NA,381,4954,8.507950610049305,7.6907549455,1,0.431407839,1.084401727,NA,NA,NA,2.393971682,2.345885992,NA,NA,NA,0.224432126,-0.007736236,NA,NA,NA,0.245167181,0.411955625,NA,NA,NA,-1.407843232,-1.42102325,NA,NA,NA,1.141660571,1.987960339,NA,NA,NA,3,4,NA,NA,NA,3,2,NA,NA,NA,1,1,NA,NA,NA,3,3,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,NA,2,3,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,3,3,NA,NA,NA,3,3,NA,NA,NA,4,5,NA,NA,NA,3,3,NA,NA,NA,1,1,NA,NA,NA,3,4,NA,NA,NA,5,5,NA,NA,NA,5,5,NA,NA,NA
01011,Alabama,AL,Bullock County,Bullock,NA,161,1181,7.074116816197362,13.632514818,3,0.924293756,NA,NA,1.553816199,NA,0.702077329,NA,NA,1.111994505,NA,0.413131952,NA,NA,0.461356133,NA,-0.44311437,NA,NA,-0.421124786,NA,-1.424716949,NA,NA,-1.603551388,NA,0.104423791,NA,NA,1.514754295,NA,4,NA,NA,4,NA,3,NA,NA,3,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,4,NA,NA,4,NA,2,NA,NA,4,NA,3,NA,NA,3,NA,2,NA,NA,3,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,3,NA,NA,3,NA,2,NA,NA,3,NA,5,NA,NA,5,NA,4,NA,NA,4,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,4,NA,NA,5,NA,3,NA,NA,5,NA
01013,Alabama,AL,Butler County,Butler,NA,207,1916,7.557994958530806,10.803757829,3,0.819170475,NA,NA,1.003846288,NA,0.353290945,NA,NA,0.658333182,NA,-0.229969397,NA,NA,-0.24597241,NA,0.082912274,NA,NA,0.101459637,NA,-1.43142581,NA,NA,-1.611809611,NA,-0.298002362,NA,NA,0.869349182,NA,4,NA,NA,4,NA,2,NA,NA,2,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,3,NA,NA,3,NA,2,NA,NA,4,NA,3,NA,NA,3,NA,2,NA,NA,2,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,2,NA,NA,3,NA,2,NA,NA,3,NA,5,NA,NA,5,NA,2,NA,NA,2,NA,1,NA,NA,1,NA,3,NA,NA,3,NA,4,NA,NA,4,NA,2,NA,NA,4,NA
01015,Alabama,AL,Calhoun County,Calhoun,NA,882,10151,9.225327501784431,8.6887991331,1,0.08986073,0.804249704,NA,NA,NA,0.315730959,-0.049766123,NA,NA,NA,-0.250055522,-0.507368743,NA,NA,NA,0.016947431,0.153464466,NA,NA,NA,-1.419918537,-1.435014606,NA,NA,NA,-0.248880327,0.583466649,NA,NA,NA,2,4,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,3,3,NA,NA,NA,2,3,NA,NA,NA,2,3,NA,NA,NA,2,1,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,2,2,NA,NA,NA,2,3,NA,NA,NA,3,4,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,NA,3,3,NA,NA,NA,4,3,NA,NA,NA,2,4,NA,NA,NA
01017,Alabama,AL,Chambers County,Chambers,NA,331,2786,7.932362154339751,11.880832735,3,0.677756667,NA,NA,0.884193361,NA,0.412296176,NA,NA,0.841698349,NA,0.887424469,NA,NA,0.982573628,NA,-0.386748105,NA,NA,-0.398287624,NA,-1.4113276,NA,NA,-1.599662781,NA,0.269483507,NA,NA,1.290441394,NA,3,NA,NA,4,NA,4,NA,NA,4,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,3,NA,NA,4,NA,3,NA,NA,4,NA,3,NA,NA,3,NA,3,NA,NA,3,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,2,NA,NA,3,NA,2,NA,NA,3,NA,4,NA,NA,5,NA,5,NA,NA,5,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,4,NA,NA,4,NA,3,NA,NA,5,NA
01019,Alabama,AL,Cherokee County,Cherokee,NA,147,1643,7.404279118037268,8.9470480828,3,0.825951397,NA,NA,0.420819879,NA,0.358172804,NA,NA,0.885525048,NA,0.451381773,NA,NA,0.51169461,NA,0.518076897,NA,NA,0.34615317,NA,-1.415982485,NA,NA,-1.590718031,NA,0.206555888,NA,NA,1.040757656,NA,4,NA,NA,3,NA,3,NA,NA,3,NA,1,NA,NA,1,NA,3,NA,NA,3,NA,3,NA,NA,4,NA,3,NA,NA,4,NA,3,NA,NA,3,NA,3,NA,NA,3,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,2,NA,NA,3,NA,2,NA,NA,3,NA,5,NA,NA,4,NA,4,NA,NA,4,NA,1,NA,NA,1,NA,4,NA,NA,3,NA,4,NA,NA,5,NA,3,NA,NA,5,NA
01021,Alabama,AL,Chilton County,Chilton,NA,397,4043,8.304742269640771,9.8194410092,1,0.486086309,1.121717572,NA,NA,NA,1.351551056,1.188000083,NA,NA,NA,0.29326272,0.068473332,NA,NA,NA,-0.350253999,-0.311813831,NA,NA,NA,-1.418786168,-1.433956027,NA,NA,NA,0.463772893,1.260635734,NA,NA,NA,3,4,NA,NA,NA,3,2,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,4,4,NA,NA,NA,3,4,NA,NA,NA,2,3,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,3,3,NA,NA,NA,2,3,NA,NA,NA,4,5,NA,NA,NA,3,3,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,5,5,NA,NA,NA,4,5,NA,NA,NA
01023,Alabama,AL,Choctaw County,Choctaw,NA,116,1044,6.950814768442584,11.111111111,4,1.139810324,NA,NA,NA,1.242797852,0.26028052,NA,NA,NA,0.895686448,0.162103206,NA,NA,NA,0.500660062,-1.130024552,NA,NA,NA,-0.775170088,-1.14601624,NA,NA,NA,-0.838115335,-0.426446348,NA,NA,NA,0.9234851,4,NA,NA,NA,4,3,NA,NA,NA,3,2,NA,NA,NA,2,1,NA,NA,NA,1,3,NA,NA,NA,4,2,NA,NA,NA,4,3,NA,NA,NA,3,2,NA,NA,NA,2,1,NA,NA,NA,2,1,NA,NA,NA,1,2,NA,NA,NA,3,1,NA,NA,NA,3,5,NA,NA,NA,5,3,NA,NA,NA,4,2,NA,NA,NA,2,1,NA,NA,NA,1,3,NA,NA,NA,5,2,NA,NA,NA,4
01025,Alabama,AL,Clarke County,Clarke,NA,262,2076,7.638198244285779,12.620423892,3,0.924053967,NA,NA,1.052447557,NA,-0.082030676,NA,NA,0.204445168,NA,0.121659398,NA,NA,0.14473097,NA,-0.911905348,NA,NA,-1.064720869,NA,-1.431213856,NA,NA,-1.613808513,NA,-0.600317836,NA,NA,0.653201163,NA,4,NA,NA,4,NA,3,NA,NA,3,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,2,NA,NA,3,NA,1,NA,NA,3,NA,3,NA,NA,3,NA,2,NA,NA,2,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,1,NA,NA,3,NA,5,NA,NA,5,NA,3,NA,NA,3,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,3,NA,NA,3,NA,2,NA,NA,4,NA
01027,Alabama,AL,Clay County,Clay,NA,120,1054,6.960347729101308,11.385199241,4,1.267358303,NA,NA,NA,1.173120379,0.531843603,NA,NA,NA,0.786403716,0.078893192,NA,NA,NA,0.443006128,-0.390908897,NA,NA,NA,-0.065207407,-1.415223956,NA,NA,NA,-1.107420325,-0.205645248,NA,NA,NA,0.873368919,4,NA,NA,NA,4,2,NA,NA,NA,3,1,NA,NA,NA,2,2,NA,NA,NA,2,3,NA,NA,NA,4,2,NA,NA,NA,4,3,NA,NA,NA,3,2,NA,NA,NA,2,1,NA,NA,NA,2,1,NA,NA,NA,2,3,NA,NA,NA,3,2,NA,NA,NA,3,5,NA,NA,NA,5,3,NA,NA,NA,4,1,NA,NA,NA,2,2,NA,NA,NA,2,4,NA,NA,NA,4,2,NA,NA,NA,4
01029,Alabama,AL,Cleburne County,Cleburne,NA,110,1255,7.134890851565884,8.764940239,4,1.129338503,NA,NA,NA,1.026065588,2.072575092,NA,NA,NA,1.863152862,0.024906315,NA,NA,NA,0.407419562,-0.708144248,NA,NA,NA,-0.404125124,-1.405661941,NA,NA,NA,-1.098469973,0.520031512,NA,NA,NA,1.228823185,4,NA,NA,NA,4,2,NA,NA,NA,3,1,NA,NA,NA,2,1,NA,NA,NA,1,4,NA,NA,NA,4,3,NA,NA,NA,4,3,NA,NA,NA,3,2,NA,NA,NA,2,1,NA,NA,NA,2,1,NA,NA,NA,1,3,NA,NA,NA,3,3,NA,NA,NA,3,5,NA,NA,NA,5,3,NA,NA,NA,4,1,NA,NA,NA,2,1,NA,NA,NA,2,5,NA,NA,NA,5,4,NA,NA,NA,5
01031,Alabama,AL,Coffee County,Coffee,NA,403,4688,8.452761331256848,8.5964163823,2,-0.022996491,NA,0.162959948,NA,NA,0.511440337,NA,0.977920234,NA,NA,0.173356771,NA,0.048001453,NA,NA,0.899606764,NA,0.84062314,NA,NA,-1.42737484,NA,-1.57136023,NA,NA,0.337478161,NA,1.006288886,NA,NA,2,NA,3,NA,NA,3,NA,2,NA,NA,1,NA,1,NA,NA,4,NA,4,NA,NA,3,NA,4,NA,NA,3,NA,4,NA,NA,2,NA,2,NA,NA,2,NA,2,NA,NA,1,NA,1,NA,NA,3,NA,3,NA,NA,3,NA,3,NA,NA,2,NA,3,NA,NA,2,NA,3,NA,NA,3,NA,3,NA,NA,1,NA,1,NA,NA,5,NA,4,NA,NA,4,NA,5,NA,NA,3,NA,5,NA,NA
01033,Alabama,AL,Colbert County,Colbert,NA,439,4405,8.39049553837028,9.9659477866,1,0.203588814,0.782290876,NA,NA,NA,-0.0201053,-0.114936963,NA,NA,NA,0.232448861,0.032409817,NA,NA,NA,0.821660459,0.799764395,NA,NA,NA,-1.410149574,-1.423048973,NA,NA,NA,0.042118575,0.600778461,NA,NA,NA,2,4,NA,NA,NA,3,2,NA,NA,NA,1,1,NA,NA,NA,4,4,NA,NA,NA,2,2,NA,NA,NA,2,3,NA,NA,NA,2,3,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,NA,3,3,NA,NA,NA,2,2,NA,NA,NA,2,3,NA,NA,NA,3,4,NA,NA,NA,3,3,NA,NA,NA,1,1,NA,NA,NA,4,5,NA,NA,NA,3,3,NA,NA,NA,3,4,NA,NA,NA
01035,Alabama,AL,Conecuh County,Conecuh,NA,148,1080,6.984716320118266,13.703703704,3,1.256991506,NA,NA,1.267151952,NA,1.256994247,NA,NA,1.82203114,NA,0.966854692,NA,NA,1.084992886,NA,-0.669914186,NA,NA,-0.735850215,NA,-1.430903316,NA,NA,-1.609036326,NA,0.610740781,NA,NA,1.927158594,NA,4,NA,NA,4,NA,4,NA,NA,4,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,4,NA,NA,4,NA,3,NA,NA,4,NA,3,NA,NA,3,NA,3,NA,NA,3,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,3,NA,NA,3,NA,3,NA,NA,3,NA,5,NA,NA,5,NA,5,NA,NA,5,NA,1,NA,NA,1,NA,1,NA,NA,2,NA,5,NA,NA,5,NA,4,NA,NA,5,NA
01037,Alabama,AL,Coosa County,Coosa,NA,84,694,6.542471960506805,12.103746398,4,1.278228402,NA,NA,NA,0.910733938,3.293241501,NA,NA,NA,2.749395847,-0.346096158,NA,NA,NA,0.07624843,-0.814807117,NA,NA,NA,-0.53187263,-1.421688676,NA,NA,NA,-1.1181528569999999,0.907533228,NA,NA,NA,1.419055581,4,NA,NA,NA,4,2,NA,NA,NA,2,1,NA,NA,NA,2,1,NA,NA,NA,1,4,NA,NA,NA,4,4,NA,NA,NA,4,3,NA,NA,NA,3,1,NA,NA,NA,2,1,NA,NA,NA,1,1,NA,NA,NA,1,3,NA,NA,NA,3,3,NA,NA,NA,3,5,NA,NA,NA,5,2,NA,NA,NA,3,1,NA,NA,NA,2,1,NA,NA,NA,1,5,NA,NA,NA,5,5,NA,NA,NA,5
01039,Alabama,AL,Covington County,Covington,NA,296,3143,8.052933036797567,9.4177537385,3,0.700593352,NA,NA,0.470531851,NA,-0.03471737,NA,NA,0.289932847,NA,0.098189488,NA,NA,0.123029709,NA,0.441462308,NA,NA,0.402295291,NA,-1.426863909,NA,NA,-1.610896468,NA,-0.208462611,NA,NA,0.63744837,NA,4,NA,NA,3,NA,2,NA,NA,3,NA,1,NA,NA,1,NA,3,NA,NA,3,NA,2,NA,NA,3,NA,2,NA,NA,3,NA,3,NA,NA,3,NA,2,NA,NA,2,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,2,NA,NA,2,NA,2,NA,NA,3,NA,4,NA,NA,4,NA,3,NA,NA,3,NA,1,NA,NA,1,NA,4,NA,NA,3,NA,3,NA,NA,3,NA,2,NA,NA,4,NA
01041,Alabama,AL,Crenshaw County,Crenshaw,NA,104,1154,7.050989447068045,9.0121317158,4,0.686180115,NA,NA,NA,0.88231498,0.328407109,NA,NA,NA,0.612280071,-0.243687972,NA,NA,NA,0.154822141,-0.172258094,NA,NA,NA,0.081946261,-1.430532455,NA,NA,NA,-1.12827599,-0.367453426,NA,NA,NA,0.581616819,3,NA,NA,NA,4,2,NA,NA,NA,3,1,NA,NA,NA,1,2,NA,NA,NA,2,3,NA,NA,NA,3,2,NA,NA,NA,3,3,NA,NA,NA,3,2,NA,NA,NA,2,1,NA,NA,NA,1,2,NA,NA,NA,2,2,NA,NA,NA,3,1,NA,NA,NA,3,4,NA,NA,NA,5,2,NA,NA,NA,3,1,NA,NA,NA,2,2,NA,NA,NA,3,4,NA,NA,NA,4,2,NA,NA,NA,4
01043,Alabama,AL,Cullman County,Cullman,NA,644,7029,8.857799727175905,9.1620429649,2,0.499357849,NA,0.425803483,NA,NA,1.188180447,NA,2.069843531,NA,NA,-0.440398484,NA,-0.630930364,NA,NA,0.333530009,NA,0.296625823,NA,NA,-1.411561489,NA,-1.555612445,NA,NA,0.136299729,NA,1.180275202,NA,NA,3,NA,3,NA,NA,2,NA,1,NA,NA,1,NA,1,NA,NA,3,NA,3,NA,NA,4,NA,4,NA,NA,3,NA,4,NA,NA,2,NA,2,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,2,NA,2,NA,NA,3,NA,3,NA,NA,2,NA,3,NA,NA,4,NA,4,NA,NA,2,NA,2,NA,NA,1,NA,1,NA,NA,3,NA,3,NA,NA,5,NA,5,NA,NA,3,NA,5,NA,NA
01045,Alabama,AL,Dale County,Dale,NA,443,5179,8.552367266423891,8.55377486,2,0.081781507,NA,0.444536895,NA,NA,0.457470298,NA,1.033339262,NA,NA,0.391331553,NA,0.289182335,NA,NA,0.591908753,NA,0.510308743,NA,NA,-1.427821755,NA,-1.562033176,NA,NA,0.339372873,NA,1.127220988,NA,NA,2,NA,3,NA,NA,3,NA,3,NA,NA,1,NA,1,NA,NA,3,NA,3,NA,NA,3,NA,4,NA,NA,3,NA,4,NA,NA,2,NA,3,NA,NA,2,NA,2,NA,NA,1,NA,1,NA,NA,3,NA,2,NA,NA,3,NA,3,NA,NA,2,NA,3,NA,NA,3,NA,4,NA,NA,4,NA,4,NA,NA,1,NA,1,NA,NA,4,NA,4,NA,NA,4,NA,5,NA,NA,3,NA,5,NA,NA
01047,Alabama,AL,Dallas County,Dallas,NA,581,4548,8.422442854870427,12.774846086,2,0.845865607,NA,2.428269625,NA,NA,-0.084509663,NA,0.171754509,NA,NA,0.395161092,NA,0.31198296,NA,NA,0.285067886,NA,0.279378265,NA,NA,-1.421255469,NA,-1.560798764,NA,NA,-0.124459006,NA,1.592915297,NA,NA,4,NA,4,NA,NA,3,NA,3,NA,NA,1,NA,1,NA,NA,3,NA,3,NA,NA,2,NA,3,NA,NA,2,NA,4,NA,NA,3,NA,3,NA,NA,2,NA,2,NA,NA,1,NA,1,NA,NA,2,NA,2,NA,NA,2,NA,2,NA,NA,2,NA,3,NA,NA,5,NA,5,NA,NA,4,NA,4,NA,NA,1,NA,1,NA,NA,3,NA,3,NA,NA,3,NA,3,NA,NA,3,NA,5,NA,NA
01049,Alabama,AL,DeKalb County,DeKalb,NA,570,6641,8.801017833540714,8.5830447222,3,0.94635123,NA,NA,0.616721213,NA,0.933901727,NA,NA,1.379703403,NA,0.207449183,NA,NA,0.245788351,NA,0.384780616,NA,NA,0.27244252,NA,-1.406445146,NA,NA,-1.596583724,NA,0.325308442,NA,NA,1.259402514,NA,4,NA,NA,3,NA,3,NA,NA,3,NA,1,NA,NA,1,NA,3,NA,NA,3,NA,4,NA,NA,4,NA,3,NA,NA,4,NA,3,NA,NA,3,NA,2,NA,NA,2,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,3,NA,NA,3,NA,2,NA,NA,3,NA,5,NA,NA,4,NA,3,NA,NA,3,NA,1,NA,NA,1,NA,3,NA,NA,3,NA,5,NA,NA,5,NA,3,NA,NA,5,NA
01051,Alabama,AL,Elmore County,Elmore,NA,631,7047,8.860357273327022,8.9541648929,1,-0.352660239,0.405630946,NA,NA,NA,1.385805368,1.125276446,NA,NA,NA,0.377780557,0.172256768,NA,NA,NA,0.14084588,0.248728663,NA,NA,NA,-1.4152596,-1.430097103,NA,NA,NA,0.767408967,0.937140524,NA,NA,NA,2,3,NA,NA,NA,3,3,NA,NA,NA,1,1,NA,NA,NA,2,3,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,NA,1,2,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,3,3,NA,NA,NA,3,3,NA,NA,NA,2,4,NA,NA,NA,4,3,NA,NA,NA,1,1,NA,NA,NA,3,3,NA,NA,NA,5,5,NA,NA,NA,4,5,NA,NA,NA
01053,Alabama,AL,Escambia County,Escambia,NA,374,3421,8.137688184977605,10.932475884,3,0.852498353,NA,NA,0.982250988,NA,0.305117726,NA,NA,0.618745804,NA,0.46718603399999997,NA,NA,0.536871552,NA,0.552284777,NA,NA,0.470515072,NA,-1.4316113,NA,NA,-1.619760752,NA,0.189789593,NA,NA,1.179821968,NA,4,NA,NA,4,NA,3,NA,NA,3,NA,1,NA,NA,1,NA,3,NA,NA,3,NA,3,NA,NA,3,NA,3,NA,NA,4,NA,3,NA,NA,3,NA,3,NA,NA,3,NA,1,NA,NA,1,NA,3,NA,NA,2,NA,2,NA,NA,3,NA,2,NA,NA,3,NA,5,NA,NA,5,NA,4,NA,NA,4,NA,1,NA,NA,1,NA,4,NA,NA,4,NA,4,NA,NA,4,NA,3,NA,NA,5,NA
01055,Alabama,AL,Etowah County,Etowah,NA,737,8648,9.065083359319043,8.5222016651,1,0.206612766,0.830439866,NA,NA,NA,0.325071573,0.077347308,NA,NA,NA,0.218352556,-0.002059159,NA,NA,NA,-0.037609048,0.079938456,NA,NA,NA,-1.410824895,-1.423891068,NA,NA,NA,-0.005261273,0.599516511,NA,NA,NA,3,4,NA,NA,NA,3,2,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,3,3,NA,NA,NA,2,3,NA,NA,NA,2,3,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,2,2,NA,NA,NA,2,3,NA,NA,NA,3,4,NA,NA,NA,3,3,NA,NA,NA,1,1,NA,NA,NA,3,3,NA,NA,NA,4,3,NA,NA,NA,3,4,NA,NA,NA
