term,edf,ref.df,statistic,p.value,model
s(eqi),5.998,7.125,5.966,0,3w
s(perc_rural),4.373,5.334,26.026,0,3w
s(perc_age1849),7.542,8.35,9.41,0,3w
s(perc_smokers),5.864,6.891,93.996,0,3w
s(water),8.457,8.907,18.66,0,4w
s(air),3.913,4.929,13.061,0,4w
s(land),8.502,8.915,16.926,0,4w
s(built),2.456,3.198,21.62,0,4w
s(sociod),8.507,8.894,26.73,0,4w
s(perc_rural),4.64,5.653,29.53,0,4w
s(perc_age1849),6.655,7.67,13.681,0,4w
s(perc_smokers),7.638,8.382,20.956,0,4w
