term,edf,ref.df,statistic,p.value,model
s(eqi),5.669,6.856,6.613,0,3
s(perc_rural),5.113,6.152,32.743,0,3
s(perc_age1849),6.748,7.825,15.757,0,3
s(perc_smokers),4.527,5.557,155.906,0,3
s(water),8.976,9,34.418,0,4
s(air),7.534,8.463,19.785,0,4
s(land),7.192,8.197,11.429,0,4
s(built),8.634,8.951,14.891,0,4
s(sociod),8.392,8.839,47.402,0,4
s(perc_rural),4.575,5.582,38.779,0,4
s(perc_age1849),6.348,7.493,33.929,0,4
s(perc_smokers),4.082,5.089,33.87,0,4
