term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,edf,ref.df
sociod,1.022,0.004,5.748,0,1.014,1.029,2r.l,NA,NA
cat_ruccless urbanized,0.983,0.009,-1.87,0.062,0.965,1.001,2r.l,NA,NA
cat_ruccthinly populated,0.977,0.019,-1.244,0.214,0.941,1.014,2r.l,NA,NA
cat_ruccnonmetropolitan-urbanized,0.974,0.009,-2.915,0.004,0.957,0.991,2r.l,NA,NA
perc_age1849,1.001,0.001,1.283,0.2,1,1.002,2r.l,NA,NA
perc_smokers,1.01,0.001,16.316,0,1.009,1.011,2r.l,NA,NA
land:perc_white,0.972,0.003,-11.275,0,0.967,0.977,2r.l,NA,NA
land:perc_black,0.974,0.003,-10.68,0,0.969,0.978,2r.l,NA,NA
land:perc_AIAN,0.973,0.003,-10.663,0,0.968,0.978,2r.l,NA,NA
land:perc_asian,0.973,0.003,-10.546,0,0.969,0.978,2r.l,NA,NA
land:perc_islander,0.943,0.009,-6.7,0,0.927,0.959,2r.l,NA,NA
land:perc_hisp,0.973,0.002,-11.262,0,0.969,0.978,2r.l,NA,NA
(Intercept),0.033,0.343,-9.969,0,0.017,0.064,2r.s,NA,NA
sociod,0.986,0.226,-0.063,0.95,0.632,1.536,2r.s,NA,NA
perc_white,1.006,0.003,1.826,0.068,1,1.013,2r.s,NA,NA
perc_black,1.016,0.003,4.607,0,1.009,1.023,2r.s,NA,NA
perc_AIAN,1.003,0.004,0.775,0.439,0.996,1.01,2r.s,NA,NA
perc_asian,0.999,0.004,-0.347,0.728,0.992,1.006,2r.s,NA,NA
perc_islander,0.976,0.014,-1.714,0.087,0.95,1.003,2r.s,NA,NA
perc_hisp,1.008,0.003,2.269,0.023,1.001,1.014,2r.s,NA,NA
air,1.012,0.002,5.331,0,1.008,1.017,2r.s,NA,NA
land,0.991,0.002,-3.663,0,0.987,0.996,2r.s,NA,NA
built,0.982,0.003,-5.174,0,0.976,0.989,2r.s,NA,NA
water,0.995,0.002,-2.493,0.013,0.991,0.999,2r.s,NA,NA
cat_ruccless urbanized,0.976,0.01,-2.433,0.015,0.957,0.995,2r.s,NA,NA
cat_ruccthinly populated,0.967,0.02,-1.628,0.104,0.93,1.007,2r.s,NA,NA
cat_ruccnonmetropolitan-urbanized,0.974,0.009,-2.821,0.005,0.956,0.992,2r.s,NA,NA
perc_age1849,1,0.001,0.507,0.612,0.999,1.002,2r.s,NA,NA
perc_smokers,1.01,0.001,15.061,0,1.009,1.011,2r.s,NA,NA
sociod:perc_white,1,0.002,0.13,0.896,0.996,1.005,2r.s,NA,NA
sociod:perc_black,1.001,0.002,0.299,0.765,0.996,1.005,2r.s,NA,NA
sociod:perc_AIAN,1.003,0.002,1.168,0.243,0.998,1.007,2r.s,NA,NA
sociod:perc_asian,0.999,0.002,-0.606,0.545,0.994,1.003,2r.s,NA,NA
sociod:perc_islander,0.977,0.007,-3.188,0.001,0.963,0.991,2r.s,NA,NA
sociod:perc_hisp,1,0.002,0.083,0.934,0.996,1.005,2r.s,NA,NA
(Intercept),0.023,0.281,-13.436,0,0.013,0.04,2r.w,NA,NA
water,2.464,0.271,3.324,0.001,1.448,4.193,2r.w,NA,NA
perc_white,1.01,0.003,3.539,0,1.004,1.016,2r.w,NA,NA
perc_black,1.019,0.003,6.861,0,1.014,1.025,2r.w,NA,NA
perc_AIAN,1.008,0.003,2.713,0.007,1.002,1.014,2r.w,NA,NA
perc_asian,1.01,0.003,3.411,0.001,1.004,1.016,2r.w,NA,NA
perc_islander,1.036,0.008,4.256,0,1.019,1.053,2r.w,NA,NA
perc_hisp,1.011,0.003,4.169,0,1.006,1.017,2r.w,NA,NA
air,1.009,0.002,3.857,0,1.004,1.014,2r.w,NA,NA
land,0.993,0.002,-3.094,0.002,0.988,0.997,2r.w,NA,NA
built,0.98,0.004,-5.87,0,0.973,0.986,2r.w,NA,NA
sociod,1.016,0.004,4.034,0,1.008,1.023,2r.w,NA,NA
cat_ruccless urbanized,0.987,0.01,-1.385,0.166,0.968,1.006,2r.w,NA,NA
cat_ruccthinly populated,0.989,0.02,-0.551,0.581,0.951,1.028,2r.w,NA,NA
cat_ruccnonmetropolitan-urbanized,0.976,0.009,-2.615,0.009,0.958,0.994,2r.w,NA,NA
perc_age1849,1,0.001,-0.57,0.569,0.998,1.001,2r.w,NA,NA
perc_smokers,1.01,0.001,16.161,0,1.009,1.012,2r.w,NA,NA
water:perc_white,0.991,0.003,-3.35,0.001,0.985,0.996,2r.w,NA,NA
water:perc_black,0.991,0.003,-3.11,0.002,0.986,0.997,2r.w,NA,NA
water:perc_AIAN,0.993,0.003,-2.667,0.008,0.987,0.998,2r.w,NA,NA
water:perc_asian,0.991,0.003,-3.077,0.002,0.986,0.997,2r.w,NA,NA
water:perc_islander,0.972,0.011,-2.678,0.007,0.952,0.992,2r.w,NA,NA
water:perc_hisp,0.991,0.003,-3.611,0,0.985,0.996,2r.w,NA,NA
s(eqi):perc_white,NA,NA,8.990655977529078,0,NA,NA,3r,4.074001621880069,4.910982657642062
s(eqi):perc_black,NA,NA,19.432187765550484,0,NA,NA,3r,8.828886716662932,9.093624539158059
s(eqi):perc_AIAN,NA,NA,18.429191199401178,0,NA,NA,3r,2.000959735035818,2.0019076492842354
s(eqi):perc_asian,NA,NA,26.389836622130314,0,NA,NA,3r,2.0006546308930826,2.001282482896977
s(eqi):perc_islander,NA,NA,18.619672541915293,0,NA,NA,3r,8.501603352253552,9.332473826396562
s(eqi):perc_hisp,NA,NA,27.499992834429904,0,NA,NA,3r,7.937408269875471,8.837233065004476
